1v,hour,bugs
1,614,84
2,684,117
3,759,210
4,833,60
5,950,120
6,1092,131
7,1236,67
8,1309,52
9,1427,67
10,1564,61
11,1650,35
12,1773,23
13,1838,32
14,2170,154
15,2238,64
16,2319,45
17,2416,94
18,2511,25
19,2604,88
20,2629,17
21,2820,73
22,2919,132
23,3057,32
24,3132,70
25,3275,22
26,3428,55
27,3538,10
28,3688,102
29,3833,80
30,3954,163
31,4262,94
32,4433,119
33,4497,109
34,4665,63
35,4791,45
36,4937,172
37,5106,42
38,5175,26
39,5314,73
40,5474,126
41,5718,106
42,5828,95
43,5863,18
44,5953,42
45,6148,28
46,6277,85
47,6345,13
48,6467,19
49,6538,33
50,6625,16
51,6779,81
52,6953,74
53,7140,65
54,7213,101
55,7310,106
56,7320,2
57,7452,40
58,7532,52
59,7669,52
60,7813,24
61,7957,68
62,8131,87
63,8199,40
64,8269,73
65,8340,27
66,8485,139
67,8607,39
68,8713,109
69,8821,144
70,8876,28
71,8965,177
72,9090,109
73,9189,23
74,9288,77
75,9355,41
76,9469,22
77,9637,99
78,9791,49
79,9976,68
80,10052,87
81,10288,92
82,10385,88
83,10507,76
84,10574,146
85,10646,40
86,10718,57
87,10916,66
88,11079,87
89,11173,238
90,11222,177
91,11325,68
92,11396,29
93,11582,103
94,11710,312
95,11867,69
96,11964,95
97,12086,75
98,12146,62
99,12324,33
100,12492,37
101,12565,36
102,12643,88
103,12714,97
104,12826,327
105,12841,2
106,12973,31
107,13003,62
108,13170,32
109,13236,31
110,13468,40
111,13646,102
112,13843,53
113,13982,32
114,14105,65
115,14174,29
116,14242,34
117,14386,144
118,14467,31
119,14535,18
120,14684,114
121,14735,16
122,14749,2
123,14842,26
124,14895,131
125,15180,108
126,15286,65
127,15420,79
128,15529,71
129,15683,108
130,15758,45
131,15868,97
132,16019,60
133,16092,33
134,16211,70
135,16260,35
136,16772,172
137,16847,141
138,17029,83
139,17076,59
140,17080,3
141,17179,46
142,17269,91
143,17375,51
144,17440,103
145,17557,52
146,17653,51
147,17753,62
148,17945,23
149,18211,67
150,18301,65
151,18385,17
152,18539,55
153,18613,40
154,18731,43
155,18885,31
156,19031,134
157,19091,25
158,19092,2
159,19214,61
160,19284,20
161,19381,64
162,19533,33
163,19729,95
164,19864,32
165,19961,119
166,20049,31
167,20217,57
168,20281,91
169,20555,78
170,20627,51
171,20796,47
172,20916,44
173,20963,33
174,21058,61
175,21116,28
176,21214,77
177,21262,52
178,21381,45
179,21477,55
180,21618,129
181,21879,86
182,22030,6
183,22138,118
184,22252,2
185,22572,103
186,22835,55
187,23172,224
188,23229,43
189,23343,33
190,23677,104
191,23965,84
192,24062,27
193,24203,14
194,24321,76
195,24663,130
196,24717,48
197,24961,93
198,25236,48
199,25432,64
200,25527,35
