,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,drivers/mfd/wm831x-otp.c,80,4,4,1311247043,1558918501,1320819495,3,,0
1,drivers/soc/fsl/qbman/bman_ccsr.c,320,5,7,1474538648,1564661815,1487967949,7,,0
2,drivers/staging/vt6655/dpc.c,147,6,12,1311247043,1531284448,1401871793,45,,0
3,sound/pci/korg1212/korg1212.c,2471,12,27,1307354793,1578210463,1315488224,28,,0
4,drivers/tty/serial/jsm/jsm_tty.c,820,14,23,1311247043,1531447535,1320598522,28,,0
5,net/netfilter/xt_ipcomp.c,109,6,6,1387337222,1558918501,1392952223,6,,0
6,drivers/iio/imu/adis16460.c,496,2,4,1563849399,1578374224,1564128961,4,5.20E+27,25
7,tools/testing/selftests/bpf/progs/tailcall1.c,48,2,2,1574428081,1579500405,1574533754,2,3e689141e64d,50
8,drivers/net/phy/mdio-mux-gpio.c,103,10,13,1335942999,1548070493,1380363539,17,,0
9,drivers/net/wireless/zydas/zd1201.c,1909,15,15,1311247043,1575941031,1313724533,9,,0
10,drivers/net/ethernet/sfc/falcon/falcon_boards.c,761,7,9,1311247043,1563967626,1325279216,4,,0
11,drivers/gpu/drm/amd/display/dc/dcn10/dcn10_mpc.c,496,9,23,1494227946,1571988795,1511443291,34,,0
12,drivers/watchdog/wdt977.c,506,7,7,1311247043,1564392657,1313819178,8,,0
13,drivers/gpu/drm/nouveau/nvkm/subdev/mmu/vmmnv44.c,230,1,3,1509479779,1528878353,1509732804,3,,0
14,scripts/recordmcount.c,662,14,20,1311247043,1578470267,1413162670,28,927d780ee371,14.28571429
15,drivers/rtc/rtc-dm355evm.c,151,7,10,1306461445,1553060615,1330034733,13,,0
16,drivers/gpio/gpio-ath79.c,312,15,21,1311247043,1570012870,1457440138,24,,0
17,arch/nios2/mm/extable.c,25,2,2,1415258384,1484013068,1418008571,2,,0
18,sound/pci/ctxfi/ctatc.c,1742,9,20,1307779326,1578014234,1312310987,23,,0
19,arch/nds32/kernel/process.c,262,3,3,1508831270,1551667145,1516656930,3,,0
20,arch/arm64/kernel/smp.c,1059,50,91,1330919370,1574945885,1417299358,122,6.66E+11,9.016393443
21,drivers/media/rc/keymaps/rc-dntv-live-dvbt-pro.c,93,5,6,1309672992,1561347734,1360154122,5,,0
22,arch/nds32/math-emu/fd2si.c,30,1,1,1558315273,1558315273,1558315273,1,,0
23,drivers/gpu/drm/amd/display/amdgpu_dm/amdgpu_dm_irq.c,777,10,18,1490940931,1578061132,1512188160,23,,0
24,drivers/crypto/virtio/virtio_crypto_algs.c,642,10,12,1481767396,1577711976,1502735166,16,19c5da7d4a26,12.5
25,drivers/gpu/drm/nouveau/nvkm/subdev/fb/gk20a.c,40,2,7,1399026757,1509479779,1425975357,13,,0
26,sound/pci/ice1712/delta.c,920,8,13,1311247043,1578014213,1321234668,13,,0
27,drivers/input/keyboard/omap-keypad.c,322,11,14,1311247043,1558918505,1320287210,19,,0
28,drivers/media/dvb-frontends/dib3000mb.c,818,5,12,1311247043,1559614261,1329179203,10,,0
29,drivers/scsi/sd_dif.c,83,4,8,1311247043,1559354905,1359091938,20,,0
30,lib/raid6/mktables.c,175,6,6,1306482658,1576808487,1338903547,5,5e5ac01c2b88,20
31,arch/x86/kernel/process_64.c,733,28,63,1311247043,1562949712,1445138821,144,6690e86be83a,4.861111111
32,drivers/s390/block/dasd_devmap.c,1809,15,36,1311247043,1561525618,1367250127,35,795c9a510611,2.857142857
33,arch/c6x/kernel/time.c,63,4,5,1317697533,1559614293,1326106248,5,f4831605f2da,20
34,arch/arc/kernel/devtree.c,77,6,10,1358493146,1559614293,1392070954,20,,0
35,tools/perf/tests/mmap-basic.c,168,8,46,1352483204,1570431200,1405898098,57,,0
