,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,arch/arm/mach-iop32x/gpio-iop32x.h,11,2,3,1378715991.0,1509520077.0,1390607380.909091,3,,0.0
1,arch/arm/mach-iop32x/Kconfig,47,2,2,1311247043.0,1509520077.0,1315465618.1914895,1,,0.0
2,arch/alpha/kernel/bugs.c,45,1,1,1519653732.0,1519653732.0,1519653732.0,1,,0.0
3,arch/alpha/kernel/core_wildfire.c,660,4,4,1311247043.0,1540883397.0,1313284773.6075757,3,,0.0
4,arch/alpha/kernel/proto.h,223,3,4,1311247043.0,1509520077.0,1312696972.251121,4,,0.0
5,arch/alpha/kernel/sys_sio.c,485,4,5,1307691021.0,1516074779.0,1324373231.5051546,5,814eae5982cc,20.0
6,arch/alpha/kernel/traps.c,994,12,20,1311247043.0,1558580664.0,1327544512.9678068,24,535906c684fc,12.5
7,arch/arm/probes/kprobes/checkers-arm.c,184,2,3,1420457361.0,1558918521.0,1421209878.9293478,3,,0.0
8,arch/arm/probes/kprobes/test-arm.c,1362,8,15,1314420065.0,1559614293.0,1332691892.1657915,6,,0.0
9,arch/nds32/kernel/signal.c,386,5,5,1508901801.0,1566878227.0,1514891662.4067357,5,,0.0
10,arch/nds32/kernel/syscall_table.c,17,1,1,1508899069.0,1508899069.0,1508899069.0,1,,0.0
