file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
drivers/iio/imu/adis16460.c,496,2,4,1563849399,1578374224,1564128961,4,5.20E+27,25.0
tools/testing/selftests/bpf/progs/tailcall1.c,48,2,2,1574428081,1579500405,1574533754,2,3e689141e64d,50.0
scripts/recordmcount.c,662,14,20,1311247043,1578470267,1413162670,28,927d780ee371,14.28571429
arch/arm64/kernel/smp.c,1059,50,91,1330919370,1574945885,1417299358,122,6.66E+11,9.016393443
drivers/crypto/virtio/virtio_crypto_algs.c,642,10,12,1481767396,1577711976,1502735166,16,19c5da7d4a26,12.5
lib/raid6/mktables.c,175,6,6,1306482658,1576808487,1338903547,5,5e5ac01c2b88,20.0
arch/x86/kernel/process_64.c,733,28,63,1311247043,1562949712,1445138821,144,6690e86be83a,4.8611111110000005
drivers/s390/block/dasd_devmap.c,1809,15,36,1311247043,1561525618,1367250127,35,795c9a510611,2.857142857
arch/c6x/kernel/time.c,63,4,5,1317697533,1559614293,1326106248,5,f4831605f2da,20.0
drivers/ata/pata_ftide010.c,575,3,4,1496544608,1558242500,1497695488,4,d0318fb3c388,25.0
net/netfilter/nfnetlink.c,639,21,53,1303125322,1579596483,1394452153,68,eb014de4fd41,5.882352941000001
sound/hda/hdac_bus.c,252,4,16,1425309779,1578898598,1451969366,16,fe4010667741,6.25
drivers/net/ethernet/broadcom/bnxt/bnxt_sriov.c,1211,8,52,1445500877,1574519445,1476836945,54,28ea334bd165,5.555555556
drivers/android/binderfs.c,793,2,20,1544764274,1583228620,1552736969,24,f0fe2c0f050d,25.0
arch/x86/kernel/tboot.c,527,17,26,1306383773,1578275030,1341169500,32,445b69e3b75e,9.375
drivers/scsi/pm8001/pm80xx_hwi.c,4975,21,51,1363687688,1579712226,1388923475,54,0e7c353e1828,1.8518518519999998
drivers/usb/serial/omninet.c,179,5,15,1311247043,1560852338,1359207602,38,30572418b445,5.263157895
drivers/thermal/power_allocator.c,654,9,18,1425287839,1560348805,1431606195,18,9751a9e449da,5.555555556
lib/mpi/mpicoder.c,415,11,27,1314770716,1502323578,1419935134,41,dea3eb8b452e,19.51219512
drivers/iio/adc/vf610_adc.c,976,14,23,1388757720,1570959829,1408483236,25,d466d3c12174,4.0
drivers/gpu/drm/amd/display/dc/dce110/dce110_compressor.c,529,6,15,1498196153,1560096470,1507569662,20,fe78627d4304,5.0
drivers/net/ethernet/qlogic/qede/qede_ptp.c,582,5,11,1487125451,1577268979,1493312516,11,1dc2b3d65523,18.18181818
drivers/net/ethernet/sfc/mcdi.c,2310,15,73,1279092979,1559614293,1370736881,84,429baa6f0e1b,2.3809523809999997
