lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,fixes_percent
80,4,4,1311247043,1558918501,1320819495,3,0
320,5,7,1474538648,1564661815,1487967949,7,0
147,6,12,1311247043,1531284448,1401871793,45,0
2471,12,27,1307354793,1578210463,1315488224,28,0
820,14,23,1311247043,1531447535,1320598522,28,0
109,6,6,1387337222,1558918501,1392952223,6,0
496,2,4,1563849399,1578374224,1564128961,4,25
48,2,2,1574428081,1579500405,1574533754,2,50
103,10,13,1335942999,1548070493,1380363539,17,0
1909,15,15,1311247043,1575941031,1313724533,9,0
761,7,9,1311247043,1563967626,1325279216,4,0
496,9,23,1494227946,1571988795,1511443291,34,0
506,7,7,1311247043,1564392657,1313819178,8,0
230,1,3,1509479779,1528878353,1509732804,3,0
662,14,20,1311247043,1578470267,1413162670,28,14.28571429
151,7,10,1306461445,1553060615,1330034733,13,0
312,15,21,1311247043,1570012870,1457440138,24,0
25,2,2,1415258384,1484013068,1418008571,2,0
1742,9,20,1307779326,1578014234,1312310987,23,0
262,3,3,1508831270,1551667145,1516656930,3,0
1059,50,91,1330919370,1574945885,1417299358,122,9.016393443
93,5,6,1309672992,1561347734,1360154122,5,0
30,1,1,1558315273,1558315273,1558315273,1,0
777,10,18,1490940931,1578061132,1512188160,23,0
642,10,12,1481767396,1577711976,1502735166,16,12.5
40,2,7,1399026757,1509479779,1425975357,13,0
920,8,13,1311247043,1578014213,1321234668,13,0
322,11,14,1311247043,1558918505,1320287210,19,0
818,5,12,1311247043,1559614261,1329179203,10,0
83,4,8,1311247043,1559354905,1359091938,20,0
175,6,6,1306482658,1576808487,1338903547,5,20
733,28,63,1311247043,1562949712,1445138821,144,4.861111111
1809,15,36,1311247043,1561525618,1367250127,35,2.857142857
63,4,5,1317697533,1559614293,1326106248,5,20
77,6,10,1358493146,1559614293,1392070954,20,0
168,8,46,1352483204,1570431200,1405898098,57,0
27,1,1,1532506938,1532506938,1532506938,1,0
375,2,2,1525845379,1558580868,1526543736,4,0
104,1,7,1495209574,1525783187,1497855368,8,0
1711,4,7,1573700176,1573700182,1573700178,7,0
2740,2,5,1560926518,1579660903,1561023739,5,0
151,9,10,1311247043,1562211073,1340267328,8,0
42,4,4,1381995336,1575600181,1470958773,5,0
353,11,18,1424713983,1578500180,1443366723,21,0
1725,9,16,1332666928,1531117040,1335000948,18,0
575,3,4,1496544608,1558242500,1497695488,4,25
639,21,53,1303125322,1579596483,1394452153,68,5.882352941
228,7,9,1311247043,1570349265,1355372895,12,0
313,6,9,1310536488,1509679710,1316056517,17,0
252,4,16,1425309779,1578898598,1451969366,16,6.25
2585,13,41,1306881908,1455617280,1314722615,38,0
291,10,12,1306378711,1558918501,1314366929,14,0
1211,8,52,1445500877,1574519445,1476836945,54,5.555555556
174,6,7,1403780982,1559287996,1409573493,7,0
1286,20,29,1307354793,1545406972,1358600486,22,0
793,2,20,1544764274,1583228620,1552736969,24,25
527,17,26,1306383773,1578275030,1341169500,32,9.375
4975,21,51,1363687688,1579712226,1388923475,54,1.851851852
255,7,7,1311247043,1558918505,1314846211,6,0
179,5,15,1311247043,1560852338,1359207602,38,5.263157895
271,2,9,1568874336,1573614052,1568986665,9,0
654,9,18,1425287839,1560348805,1431606195,18,5.555555556
415,11,27,1314770716,1502323578,1419935134,41,19.51219512
